date_time,cases,report_date
2020-01-13,0,2020-04-09
2020-01-14,4,2020-04-09
2020-01-15,2,2020-04-09
2020-01-16,1,2020-04-09
2020-01-17,1,2020-04-09
2020-01-18,1,2020-04-09
2020-01-19,0,2020-04-09
2020-01-20,3,2020-04-09
2020-01-21,1,2020-04-09
2020-01-22,4,2020-04-09
2020-01-23,2,2020-04-09
2020-01-24,7,2020-04-09
2020-01-25,8,2020-04-09
2020-01-26,15,2020-04-09
2020-01-27,17,2020-04-09
2020-01-28,2,2020-04-09
2020-01-29,3,2020-04-09
2020-01-30,6,2020-04-09
2020-01-31,2,2020-04-09
2020-02-01,6,2020-04-09
2020-02-02,5,2020-04-09
2020-02-03,2,2020-04-09
2020-02-04,0,2020-04-09
2020-02-05,2,2020-04-09
2020-02-06,3,2020-04-09
2020-02-07,3,2020-04-09
2020-02-08,4,2020-04-09
2020-02-09,2,2020-04-09
2020-02-10,10,2020-04-09
2020-02-11,9,2020-04-09
2020-02-12,7,2020-04-09
2020-02-13,9,2020-04-09
2020-02-14,12,2020-04-09
2020-02-15,12,2020-04-09
2020-02-16,9,2020-04-09
2020-02-17,25,2020-04-09
2020-02-18,25,2020-04-09
2020-02-19,18,2020-04-09
2020-02-20,30,2020-04-09
2020-02-21,39,2020-04-09
2020-02-22,33,2020-04-09
2020-02-23,48,2020-04-09
2020-02-24,93,2020-04-09
2020-02-25,77,2020-04-09
2020-02-26,108,2020-04-09
2020-02-27,109,2020-04-09
2020-02-28,170,2020-04-09
2020-02-29,141,2020-04-09
2020-03-01,342,2020-04-09
2020-03-02,330,2020-04-09
2020-03-03,385,2020-04-09
2020-03-04,428,2020-04-09
2020-03-05,514,2020-04-09
2020-03-06,676,2020-04-09
2020-03-07,833,2020-04-09
2020-03-08,1293,2020-04-09
2020-03-09,2189,2020-04-09
2020-03-10,2350,2020-04-09
2020-03-11,3168,2020-04-09
2020-03-12,4997,2020-04-09
2020-03-13,6243,2020-04-09
2020-03-14,7063,2020-04-09
2020-03-15,8595,2020-04-09
2020-03-16,10052,2020-04-09
2020-03-17,8211,2020-04-09
2020-03-18,8033,2020-04-09
2020-03-19,9741,2020-04-09
2020-03-20,11572,2020-04-09
2020-03-21,11755,2020-04-09
2020-03-22,12214,2020-04-09
2020-03-23,13194,2020-04-09
2020-03-24,9476,2020-04-09
2020-03-25,9669,2020-04-09
2020-03-26,14491,2020-04-09
2020-03-27,13350,2020-04-09
2020-03-28,12673,2020-04-09
2020-03-29,12967,2020-04-09
2020-03-30,13223,2020-04-09
2020-03-31,9331,2020-04-09
2020-04-01,8569,2020-04-09
2020-04-02,11529,2020-04-09
2020-04-03,8136,2020-04-09
2020-04-04,4155,2020-04-09
2020-04-05,1116,2020-04-09
2020-04-06,434,2020-04-09
2020-04-07,151,2020-04-09
2020-04-08,47,2020-04-09
2020-04-09,11,2020-04-09
2020-01-12,0,2020-04-05
2020-01-13,0,2020-04-05
2020-01-14,3,2020-04-05
2020-01-15,1,2020-04-05
2020-01-16,2,2020-04-05
2020-01-17,0,2020-04-05
2020-01-18,1,2020-04-05
2020-01-19,0,2020-04-05
2020-01-20,2,2020-04-05
2020-01-21,1,2020-04-05
2020-01-22,3,2020-04-05
2020-01-23,0,2020-04-05
2020-01-24,3,2020-04-05
2020-01-25,2,2020-04-05
2020-01-26,0,2020-04-05
2020-01-27,1,2020-04-05
2020-01-28,2,2020-04-05
2020-01-29,3,2020-04-05
2020-01-30,7,2020-04-05
2020-01-31,1,2020-04-05
2020-02-01,3,2020-04-05
2020-02-02,5,2020-04-05
2020-02-03,2,2020-04-05
2020-02-04,0,2020-04-05
2020-02-05,1,2020-04-05
2020-02-06,2,2020-04-05
2020-02-07,2,2020-04-05
2020-02-08,4,2020-04-05
2020-02-09,2,2020-04-05
2020-02-10,8,2020-04-05
2020-02-11,8,2020-04-05
2020-02-12,6,2020-04-05
2020-02-13,8,2020-04-05
2020-02-14,13,2020-04-05
2020-02-15,11,2020-04-05
2020-02-16,6,2020-04-05
2020-02-17,22,2020-04-05
2020-02-18,24,2020-04-05
2020-02-19,14,2020-04-05
2020-02-20,29,2020-04-05
2020-02-21,36,2020-04-05
2020-02-22,32,2020-04-05
2020-02-23,40,2020-04-05
2020-02-24,82,2020-04-05
2020-02-25,59,2020-04-05
2020-02-26,98,2020-04-05
2020-02-27,92,2020-04-05
2020-02-28,152,2020-04-05
2020-02-29,128,2020-04-05
2020-03-01,307,2020-04-05
2020-03-02,300,2020-04-05
2020-03-03,341,2020-04-05
2020-03-04,386,2020-04-05
2020-03-05,461,2020-04-05
2020-03-06,583,2020-04-05
2020-03-07,650,2020-04-05
2020-03-08,902,2020-04-05
2020-03-09,1487,2020-04-05
2020-03-10,1618,2020-04-05
2020-03-11,2033,2020-04-05
2020-03-12,2747,2020-04-05
2020-03-13,3623,2020-04-05
2020-03-14,3881,2020-04-05
2020-03-15,4698,2020-04-05
2020-03-16,5580,2020-04-05
2020-03-17,4995,2020-04-05
2020-03-18,4807,2020-04-05
2020-03-19,5548,2020-04-05
2020-03-20,5959,2020-04-05
2020-03-21,5598,2020-04-05
2020-03-22,5563,2020-04-05
2020-03-23,5449,2020-04-05
2020-03-24,3744,2020-04-05
2020-03-25,3261,2020-04-05
2020-03-26,4314,2020-04-05
2020-03-27,3545,2020-04-05
2020-03-28,2959,2020-04-05
2020-03-29,2066,2020-04-05
2020-03-30,1013,2020-04-05
2020-03-31,394,2020-04-05
2020-04-01,187,2020-04-05
2020-04-02,72,2020-04-05
2020-04-03,12,2020-04-05
2020-04-04,0,2020-04-05
2020-04-05,0,2020-04-05
2020-04-06,0,2020-04-05
2020-01-12,0,2020-04-06
2020-01-13,0,2020-04-06
2020-01-14,3,2020-04-06
2020-01-15,2,2020-04-06
2020-01-16,1,2020-04-06
2020-01-17,0,2020-04-06
2020-01-18,1,2020-04-06
2020-01-19,0,2020-04-06
2020-01-20,2,2020-04-06
2020-01-21,1,2020-04-06
2020-01-22,3,2020-04-06
2020-01-23,0,2020-04-06
2020-01-24,3,2020-04-06
2020-01-25,2,2020-04-06
2020-01-26,0,2020-04-06
2020-01-27,1,2020-04-06
2020-01-28,2,2020-04-06
2020-01-29,3,2020-04-06
2020-01-30,6,2020-04-06
2020-01-31,1,2020-04-06
2020-02-01,3,2020-04-06
2020-02-02,5,2020-04-06
2020-02-03,2,2020-04-06
2020-02-04,0,2020-04-06
2020-02-05,1,2020-04-06
2020-02-06,2,2020-04-06
2020-02-07,2,2020-04-06
2020-02-08,3,2020-04-06
2020-02-09,2,2020-04-06
2020-02-10,8,2020-04-06
2020-02-11,8,2020-04-06
2020-02-12,6,2020-04-06
2020-02-13,9,2020-04-06
2020-02-14,12,2020-04-06
2020-02-15,12,2020-04-06
2020-02-16,7,2020-04-06
2020-02-17,22,2020-04-06
2020-02-18,23,2020-04-06
2020-02-19,14,2020-04-06
2020-02-20,28,2020-04-06
2020-02-21,37,2020-04-06
2020-02-22,31,2020-04-06
2020-02-23,41,2020-04-06
2020-02-24,85,2020-04-06
2020-02-25,62,2020-04-06
2020-02-26,104,2020-04-06
2020-02-27,96,2020-04-06
2020-02-28,157,2020-04-06
2020-02-29,135,2020-04-06
2020-03-01,316,2020-04-06
2020-03-02,307,2020-04-06
2020-03-03,355,2020-04-06
2020-03-04,392,2020-04-06
2020-03-05,471,2020-04-06
2020-03-06,602,2020-04-06
2020-03-07,682,2020-04-06
2020-03-08,970,2020-04-06
2020-03-09,1606,2020-04-06
2020-03-10,1758,2020-04-06
2020-03-11,2199,2020-04-06
2020-03-12,3140,2020-04-06
2020-03-13,4145,2020-04-06
2020-03-14,4523,2020-04-06
2020-03-15,5572,2020-04-06
2020-03-16,6802,2020-04-06
2020-03-17,5934,2020-04-06
2020-03-18,5767,2020-04-06
2020-03-19,7307,2020-04-06
2020-03-20,8043,2020-04-06
2020-03-21,7862,2020-04-06
2020-03-22,8150,2020-04-06
2020-03-23,8407,2020-04-06
2020-03-24,6009,2020-04-06
2020-03-25,5320,2020-04-06
2020-03-26,8321,2020-04-06
2020-03-27,8121,2020-04-06
2020-03-28,7428,2020-04-06
2020-03-29,6089,2020-04-06
2020-03-30,4219,2020-04-06
2020-03-31,2275,2020-04-06
2020-04-01,594,2020-04-06
2020-04-02,231,2020-04-06
2020-04-03,76,2020-04-06
2020-04-04,28,2020-04-06
2020-04-05,5,2020-04-06
2020-04-06,1,2020-04-06
2020-01-12,0,2020-04-07
2020-01-13,0,2020-04-07
2020-01-14,3,2020-04-07
2020-01-15,2,2020-04-07
2020-01-16,1,2020-04-07
2020-01-17,0,2020-04-07
2020-01-18,1,2020-04-07
2020-01-19,0,2020-04-07
2020-01-20,2,2020-04-07
2020-01-21,1,2020-04-07
2020-01-22,3,2020-04-07
2020-01-23,0,2020-04-07
2020-01-24,3,2020-04-07
2020-01-25,2,2020-04-07
2020-01-26,0,2020-04-07
2020-01-27,1,2020-04-07
2020-01-28,2,2020-04-07
2020-01-29,3,2020-04-07
2020-01-30,6,2020-04-07
2020-01-31,2,2020-04-07
2020-02-01,4,2020-04-07
2020-02-02,5,2020-04-07
2020-02-03,2,2020-04-07
2020-02-04,0,2020-04-07
2020-02-05,1,2020-04-07
2020-02-06,2,2020-04-07
2020-02-07,3,2020-04-07
2020-02-08,4,2020-04-07
2020-02-09,2,2020-04-07
2020-02-10,8,2020-04-07
2020-02-11,7,2020-04-07
2020-02-12,6,2020-04-07
2020-02-13,9,2020-04-07
2020-02-14,11,2020-04-07
2020-02-15,12,2020-04-07
2020-02-16,8,2020-04-07
2020-02-17,23,2020-04-07
2020-02-18,23,2020-04-07
2020-02-19,16,2020-04-07
2020-02-20,28,2020-04-07
2020-02-21,36,2020-04-07
2020-02-22,34,2020-04-07
2020-02-23,43,2020-04-07
2020-02-24,86,2020-04-07
2020-02-25,65,2020-04-07
